item_no,property_no,acquisition_date,measurement_unit,quantity,particulars, unit_cost ,remarks,end_user,status
1,2020-1931,2020-12-04,17,1,"Calculator, compact, 12 digits, Chanyi Brand",197.6,,272,Active
2,2023-275,2023-06-01,17,1,"Gaming Chair, Black","7,000.00",,272,Active
3,2023-554,2023-10-03,17,1,"Stereo Bluetooth Head23, Logitech","9,000.00",,272,Active
4,2023-737,2023-11-17,17,1,"Office Table, glass top with side drawers","7,425.00",,272,Active
1,2021-1087,2021-08-03,30,1,"UPS, EATON 5L 1200 USB, 1200VA/600W, 230V","6,800.00",,NULL,COA-Haydee
2,87-15,2015-08-07,30,1,Swivel Chair w/ Arm Rest,"3,699.40",,NULL,COA-Haydee
3,15-66,2015-07-03,30,1,Computer table,"1,361.00",,NULL,COA-Haydee
4,2019-457,2019-05-16,30,1,"Swivel Chair, ergodynamic","2,995.00",,NULL,COA-Haydee
5,"2019-881,2019-882",2019-11-25,30,1,"Swivel Chair, black leather","6,450.00",,NULL,COA-Haydee
6,1050-2K,1997-04-30,30,1,Computer Desktop,"62,000.00",,NULL,COA-Haydee
7,966-11,2011-11-11,30,1,Computer Desktop,"40,660.00",,NULL,COA-Haydee
8,2020-06-0166,2019-12-27,30,1,CPU Assembled,"33,514.54",,NULL,COA-Haydee
9,2020-01-005,2020-02-18,30,1,"Printer, Epson L5190","17,000.00",,NULL,COA-Haydee
10,2023-016,2022-12-09,17,1,"Paper Shredder, Strip Cut, Acura","2,180.00",,NULL,COA-Haydee
11,2021-1515,2021-03-10,17,1,"Webcam, Logitech","7,990.00",,NULL,COA-Haydee
12,2023-047,2023-12-09,17,1,Puncher,145,,NULL,COA-Haydee
13,2021-1086,2021-08-03,30,1,"UPS, EATON 5L 1200 USB, 1200VA/600W, 230V","6,800.00",from: M. Dulnuan,NULL,COA-Haydee
14,2019-856,2019-11-18,17,1,"Calculator, Casio",345,from: M. Dulnuan,NULL,COA-Haydee
15,2022-189,2022-03-11,17,1,"Keyboard, A4Tech",330,from: M. Dulnuan,NULL,COA-Haydee
16,2022-548,2022-09-30,17,1,"Mouse, A4Tech",150,from: M. Dulnuan,NULL,COA-Haydee
17,2022-644,2022-09-08,30,1,CPU Assembled,"32,327.00",from: M. Dulnuan,NULL,COA-Haydee
18,2022-483,2022-09-05,17,1,"Keyboard, A4Tech",400,from: M. Dulnuan,NULL,COA-Haydee
19,2022-475,2022-09-02,17,1,"Monitor, Viewplus 23.8""","5,671.00",from: M. Dulnuan,NULL,COA-Haydee
20,2022-679,2022-01-31,30,1,"Printer, Brother MFC T920DW","14,150.00",from: M. Dulnuan,NULL,COA-Haydee
21,2021-1528,2021-03-10,17,1,"Webcam, Logitech","7,990.00",from: M. Dulnuan,NULL,COA-Haydee
22,2022-670,2022-11-18,17,1,"UPS, Secure 1000VA","3,945.00",from: M. Dulnuan,NULL,COA-Haydee
23,2023-196,2023-05-05,30,1,"Drawer Steel Lateral Filing Cabinet, 2 Layers, Drawer Type","10,990.00",from: M. Dulnuan,NULL,COA-Haydee
1,15-155,2015-06-10,30,1,"Computer Desktop ( Acer Model, X4620G)","25,000.00",from: M. Bania-ao,137,Active
2,2021-1057,2021-08-03,17,1,"UPS, EATON 5L,1200 USB, 1200VA/600W, 230V","6,800.00",,137,Active
3,2019-924,1905-07-11,30,1,"Barcode Scanner/ Reader, 3D","5,990.00",from: M. Bania-ao,137,Active
4,2018-102,2018-02-15,30,1,"Portable Desk Scanner, Brother DS-620","6,700.00",from: M. Bania-ao,137,Active
5,2022-729,2022-12-22,30,1,CPU Assembled,"40,700.00",,137,Active
6,2022-556,2022-09-30,17,1,"Mouse, A4Tech",150,,137,Active
7,2022-495,2022-09-07,17,1,"Monitor, Atlas, Gamdias 21.5""","4,870.00",,137,Active
8,2022-487,2022-09-05,17,1,"Keyboard, A4Tech",400,,137,Active
9,2024-080,2024-01-03,30,1,"Printer, Epson L5290","14,000.00",,137,Active
10,2022-620,2022-10-26,30,1,"Webcam, Logitech","11,200.00",,137,Active
